Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6387f332fcf5e08414b6bb02,5dd733664524e76dc4537fe2,APPROVED,2022-12-01T00:20:05.328000Z,2022-12-01T00:20:32.012000Z,2022-12-01T00:20:35.109000,2022-12-01T00:20:32.400378Z,27,C109FFJY,2239,Graduate degree (MA/MSc/MPhil/other),36,Female,White,United States,United States,United States,English,Yes,Full-Time
6387f3727c7f52e78b6d6967,5ca24b9ceb041e00152164f0,APPROVED,2022-12-01T00:21:08.421000Z,2022-12-01T00:21:36.656000Z,2022-12-01T00:21:37.150000,2022-12-01T00:21:37.081754Z,29,C109FFJY,2302,Graduate degree (MA/MSc/MPhil/other),49,Female,White,United States,United States,United States,English,No,Part-Time
6387f40bb95932e055b6d86e,5e29ed78eb557a05536b8442,AWAITING REVIEW,2022-12-01T00:23:42.625000Z,2022-12-01T00:24:33.535000Z,,2022-12-01T00:24:33.946746Z,51,NOCODE,3270,Doctorate degree (PhD/other),55,Male,White,United States,United States,United States,English,No,Full-Time
6387f419dec199f28c0da6df,62f7f962dab1139e741e5207,APPROVED,2022-12-01T00:23:56.890000Z,2022-12-01T00:24:20.870000Z,2022-12-01T00:24:21.544000,2022-12-01T00:24:21.194618Z,24,C109FFJY,448,Graduate degree (MA/MSc/MPhil/other),32,Male,White,United States,United States,United States,English,No,Full-Time
6387f4821d01e730a9ec72f8,6387db71396bd54b2e9fcd09,APPROVED,2022-12-01T00:25:49.581000Z,2022-12-01T00:26:43.658000Z,2022-12-01T00:26:44.104000,2022-12-01T00:26:44.034395Z,55,C109FFJY,0,Graduate degree (MA/MSc/MPhil/other),71,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6387f4bf96d6f4bd8eab81f8,5e3dec90ce522506a9045e17,APPROVED,2022-12-01T00:26:47.610000Z,2022-12-01T00:27:55.690000Z,2022-12-01T00:27:56.109000,2022-12-01T00:27:56.049552Z,69,C109FFJY,2564,Graduate degree (MA/MSc/MPhil/other),48,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6387f4f0205334d48e7fa0b5,5e3cddaa64dfd70d85a5ef3f,APPROVED,2022-12-01T00:27:30.531000Z,2022-12-01T00:28:06.212000Z,2022-12-01T00:28:06.672000,2022-12-01T00:28:06.602074Z,36,C109FFJY,3068,Graduate degree (MA/MSc/MPhil/other),40,Male,White,United States,United States,United States,English,No,Full-Time
6387f51f0c74a609f40da6e4,5af799f857516b0001412679,APPROVED,2022-12-01T00:28:21.130000Z,2022-12-01T00:29:03.280000Z,2022-12-01T00:29:03.722000,2022-12-01T00:29:03.657609Z,43,C109FFJY,3009,Graduate degree (MA/MSc/MPhil/other),53,Male,White,United States,United States,United States,English,No,Full-Time
6387f5c621ca457cb2affe5b,61083712377e2db34e2b3cd2,AWAITING REVIEW,2022-12-01T00:31:05.371000Z,2022-12-01T00:31:37.025000Z,,2022-12-01T00:31:37.435204Z,32,NOCODE,792,Graduate degree (MA/MSc/MPhil/other),28,Female,Other,United States,United States,United States,Spanish,No,Full-Time
6387f6859e659378b21ca038,622a04c3557ea04c82c8f62f,AWAITING REVIEW,2022-12-01T00:34:17.532000Z,2022-12-01T00:35:29.600000Z,,2022-12-01T00:35:29.956542Z,73,NOCODE,423,Graduate degree (MA/MSc/MPhil/other),63,Female,White,United States,United States,United States,English,No,Part-Time
6387f79637067340cd9d96d5,5f7b8d1186b828165dae8e5f,AWAITING REVIEW,2022-12-01T00:38:51.433000Z,2022-12-01T00:39:43.444000Z,,2022-12-01T00:39:43.834331Z,53,NOCODE,3001,Doctorate degree (PhD/other),59,Male,White,United States,United States,United States,English,No,Full-Time
6387f7b861fdb66e24d332fd,62fdcda607c1d770ba1c6da8,AWAITING REVIEW,2022-12-01T00:39:23.520000Z,2022-12-01T00:40:13.101000Z,,2022-12-01T00:40:13.512866Z,50,NOCODE,463,Graduate degree (MA/MSc/MPhil/other),37,Male,White,United States,United States,United States,English,No,Part-Time
6387f7b87373db56ad0519ef,633872ba6dfc63a1faf7112d,AWAITING REVIEW,2022-12-01T00:39:26.728000Z,2022-12-01T00:40:33.071000Z,,2022-12-01T00:40:33.426341Z,67,NOCODE,138,Doctorate degree (PhD/other),64,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6387f8310fed5b5802db625a,5c0f1cf4f3027300014b606f,APPROVED,2022-12-01T00:41:21.598000Z,2022-12-01T00:42:12.728000Z,2022-12-01T00:42:13.102000,2022-12-01T00:42:13.042849Z,52,C109FFJY,4229,Doctorate degree (PhD/other),40,Male,White,United States,United States,United States,English,No,Full-Time
