"","Participant.id","education","Age","Sex","Ethnicity.simplified","Student.status","Employment.status","treatment","response"
"479","60a1e1f4a3707c983a98f185","medium",29,"Female","White","No","Full-Time",FALSE,-10
"480","60a2743299a0c895f50925f4","medium",56,"Female","White","No","Full-Time",FALSE,-10
"481","60a51f35a0db48f89d6f3a72","high",63,"Male","White","No","Full-Time",FALSE,10
"482","60a7c3e1e70934af63664a46","low",19,"Female","Mixed","Yes","Part-Time",FALSE,-2
"483","60aa30669b1bc58945396e74","medium",35,"Female","Other","No","Part-Time",FALSE,-4
"484","60aef480e194cd288065cf03","low",41,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-2
"485","60b6b4d12a9854d3385bc768","high",27,"Male","White","No","Full-Time",FALSE,-8
"486","60b6c87613dc76ae924ce0d0","low",41,"Male","Black","No","Full-Time",TRUE,-2
"487","60b91e7f81b40fd08d67baaa","medium",55,"Female","White","No","Full-Time",FALSE,-3
"488","60b9689dc626572895cb801b","high",41,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-4
"489","60baa2667ff218389ffd3da5","medium",20,"Female","Other","No","Unemployed (and job seeking)",TRUE,-10
"490","60bebaad355aa083fd9b8c60","low",23,"Female","Mixed","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-8
"491","60c19574351b619a4cb95e6d","low",19,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,7
"492","60c2fa3c3cdfb91887edd7ce","medium",24,"Prefer not to say","White","Yes","Unemployed (and job seeking)",FALSE,0
"493","60c417aec3690a7973af2570","medium",23,"Male","Mixed","No","Unemployed (and job seeking)",FALSE,6
"494","60c7c096903b9b083aa00c4f","medium",22,"Male","White","Yes","Unemployed (and job seeking)",FALSE,-10
"495","60cac6e750602e711ed5efc6","medium",32,"Female","Black","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,0
"496","60ce15b1956bb0e5e00098ea","medium",37,"Male","Mixed","Yes","Full-Time",FALSE,-8
"497","60cff3ba91773f75c9504567","high",33,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,4
"498","60d22b95ea12a89273fde27d","high",28,"Female","White","No","Part-Time",FALSE,-5
"499","60d53f65d1f77cc84247be14","high",39,"Male","White","No","Full-Time",FALSE,-8
"500","60d5ff02fef54b0399953c12","low",22,"Male","White","Yes","Unemployed (and job seeking)",FALSE,3
"501","60da75d30050514a61594bc7","low",31,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,9
"502","60de6eaecf5d59c0e0670050","high",38,"Male","Asian","DATA_EXPIRED","Unemployed (and job seeking)",TRUE,1
"503","60de6eaecf5d59c0e0670050","high",38,"Male","Asian","DATA_EXPIRED","Unemployed (and job seeking)",FALSE,1
"504","60de9c66c01a9de405e9efb0","low",63,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-10
"505","60e88e0b7d305b5fbae3ebef","high",40,"Male","White","DATA_EXPIRED","Full-Time",FALSE,-9
"506","60ebd106ca635af4d76098cd","medium",36,"Male","White","No","Full-Time",FALSE,7
"507","60ed8b58291a506de5a1bf6f","low",35,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,7
"508","60f2570c0e231df8115f4752","medium",19,"Male","Asian","Yes","DATA_EXPIRED",TRUE,10
"509","60f75bfcee2ff53ef6a14c89","low",22,"Female","White","No","Unemployed (and job seeking)",FALSE,2
"510","60fbed5d2532f7768e7b5a29","high",51,"Male","White","No","Full-Time",FALSE,-10
"511","60fc5d49ff20168d794fe083","medium",24,"Female","White","Yes","Part-Time",TRUE,2
"512","60fccda5792c49c693dfcd19","high",42,"Female","White","No","Full-Time",FALSE,10
"513","60fcd0f990314dce9c243fef","medium",21,"Female","Mixed","Yes","Unemployed (and job seeking)",FALSE,-3
"514","60fce0e83002bd32a1a4cfa3","medium",23,"Female","White","DATA_EXPIRED","Unemployed (and job seeking)",TRUE,-6
"515","60fcf1aa4c76b655673eedf8","low",25,"Female","White","Yes","Unemployed (and job seeking)",TRUE,-6
"516","60fcf9abf635e9904cb7dca9","medium",22,"Female","Other","Yes","Other",FALSE,3
"517","60fd0c7f3feef315172385cf","high",37,"Female","White","No","Full-Time",TRUE,-6
"518","60fd3cd100cfd3da1b3b9e11","medium",26,"Female","Other","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,0
"519","60fd4c897c9e7571c7e9780b","medium",22,"Female","White","No","DATA_EXPIRED",TRUE,2
"520","60fd6618f9a377f54dcdf318","high",36,"Male","White","Yes","Full-Time",TRUE,-10
"521","60fd706bb974c035ddbfc0e7","low",20,"Female","White","Yes","DATA_EXPIRED",TRUE,-6
"522","60fd8cf1b99f6ccb0e5fc85a","medium",36,"Female","White","Yes","Part-Time",TRUE,10
"523","60fd9fbfb845fbe920c78885","low",31,"Female","White","No","Full-Time",TRUE,-4
"524","60fdb2863dc080a0d285fc21","low",39,"Female","White","No","Full-Time",TRUE,-8
"525","60fdc5c27df92fe62a07a0c3","medium",32,"Female","White","No","Full-Time",TRUE,0
"526","60fdd6065200f6120a01fba5","low",52,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,4
"527","60fe204fae558bfeb83d0bcf","low",22,"Female","White","Yes","Unemployed (and job seeking)",TRUE,-10
"528","60feef287e50bd7f55933e65","high",25,"Female","White","No","Full-Time",FALSE,-5
"529","60ff4fc94dbc53a93c790a0b","high",24,"Female","Black","Yes","Due to start a new job within the next month",TRUE,3
"530","60ff5b9ae8095935c35ea618","high",37,"Male","White","No","Full-Time",FALSE,2
"531","61006f174b5aabf905131ae1","medium",20,"Female","White","Yes","Unemployed (and job seeking)",FALSE,-3
"532","6100a65828da5be11d11c404","medium",25,"Female","White","No","Full-Time",TRUE,-8
"533","6101bcb1b6f73b8138d66252","medium",48,"Female","White","No","Full-Time",FALSE,-4
"534","6101ca2b4ef4ff44381fe3cd","low",34,"Male","White","No","Unemployed (and job seeking)",TRUE,-6
"535","6101ed07f939f9662014e6a1","medium",32,"Female","White","No","Due to start a new job within the next month",TRUE,-3
"536","6101ed07f939f9662014e6a1","medium",32,"Female","White","No","Due to start a new job within the next month",FALSE,-3
"537","6102280c59d8caf66f1df675","medium",24,"Female","Mixed","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,0
"538","6102ced1a983f0479d576146","high",30,"Female","White","No","Full-Time",TRUE,-6
"539","61036c39549abd4fa911d139","high",41,"Male","White","No","Full-Time",FALSE,-5
"540","6105b1b285e91680458bd341","high",47,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,2
"541","610713aeac4904cc5d90e76d","medium",41,"Male","Other","No","Full-Time",FALSE,-2
"542","610772789d0d3082cb3274c6","medium",22,"Female","White","No","DATA_EXPIRED",FALSE,-8
"543","610813ebfdb1b78559fb1ff9","medium",54,"Male","Other","No","Full-Time",TRUE,-6
"544","610817e75d1ed4e2f023f912","medium",32,"Male","Mixed","No","Full-Time",TRUE,5
"545","61083712377e2db34e2b3cd2","high",28,"Female","Other","No","Full-Time",TRUE,1
"546","6108469c7d486eac3c1629d3","medium",33,"Female","White","No","Unemployed (and job seeking)",TRUE,-9
"547","61086359aa7aece92b0733e3","high",25,"Female","Other","No","Full-Time",FALSE,-10
"548","61089a35dbc0aaf020ab264d","high",47,"Female","White","No","Full-Time",TRUE,-8
"549","6108abf7896db04590fa6d8e","medium",33,"Female","White","No","Due to start a new job within the next month",TRUE,-8
"550","6108e0f394ea82edc8b1884a","low",25,"Female","White","No","Full-Time",FALSE,-5
"551","610959c4bde8b758f8b860fc","medium",24,"Female","Asian","Yes","Part-Time",FALSE,-3
"552","61095beca1f18a14707aee38","low",21,"Female","White","No","Full-Time",TRUE,10
"553","610976a9397b8cbaecbc05f3","medium",55,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,1
"554","610a0ee712ed8d727ac617f0","medium",28,"Female","White","No","Full-Time",TRUE,-10
"555","610aaf651f5e36d3a76b199f","low",21,"Female","Other","Yes","Full-Time",FALSE,-6
"556","610ac699ad8b370074179962","low",39,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-4
"557","610acd05a1f63b626b20ee3a","medium",22,"Female","White","No","Part-Time",TRUE,-8
"558","610b6fddbfad670dcb443bd1","low",21,"Male","White","Yes","Other",FALSE,6
"559","610cb2e82784ac6af6469fc5","high",29,"Female","White","No","Full-Time",FALSE,1
"560","610d505ad461a3607f6ec804","high",28,"Male","White","Yes","Full-Time",TRUE,6
"561","610d6fe6f9fcfeba763fc61d","low",22,"Female","Mixed","No","Part-Time",FALSE,-2
"562","610f326ceebada4236a67080","high",57,"Male","White","No","Full-Time",TRUE,2
"563","611094527f05f64a46663cd9","high",23,"Female","Mixed","No","Full-Time",FALSE,-4
"564","6110abe160a80a8e7d5e3a06","medium",29,"Female","White","No","Unemployed (and job seeking)",TRUE,-6
"565","6111308dc631d4011ef43a73","medium",23,"Female","White","No","DATA_EXPIRED",TRUE,-1
"566","6111535477f8632ee162925b","medium",41,"Male","White","No","Full-Time",TRUE,8
"567","61116fb00f7f0fbacf0714f9","medium",24,"Female","Asian","No","Unemployed (and job seeking)",TRUE,-6
"568","6111940f46b7b06c55140993","medium",22,"Female","Mixed","No","Unemployed (and job seeking)",FALSE,-10
"569","6111a1563a1ee66375aa174b","low",19,"Female","White","Yes","Part-Time",FALSE,-8
"570","6111d437d89c3f011ba8ce63","medium",23,"Female","White","Yes","Unemployed (and job seeking)",FALSE,0
"571","6112925437a4309649bb14db","medium",23,"Female","White","Yes","Part-Time",TRUE,2
